City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-philippe,-21.3585,55.7679,292.92,77,66,4.33,RE,1722559628
1,port alfred,-33.5906,26.891,285.47,91,100,0.89,ZA,1722559650
2,tanjung selor,2.8372,117.3642,299.7,93,85,0.2,ID,1722559673
3,port-aux-francais,-49.35,70.2167,278.05,94,100,16.46,TF,1722559695
4,alotau,-10.3069,150.4462,296.62,94,100,2.41,PG,1722559717
5,kerman,30.2832,57.0788,304.07,18,75,3.09,IR,1722559740
6,phalaborwa,-23.943,31.1411,288.75,85,0,1.2,ZA,1722559762
7,bamboo flat,11.7,92.7167,300.2,94,75,1.03,IN,1722559785
8,praia da vitoria,38.7333,-27.0667,296.35,88,20,0.99,PT,1722559807
9,port mathurin,-19.6833,63.4167,295.41,76,1,3.69,MU,1722559829
10,mogocha,53.7333,119.7667,289.2,48,100,0.54,RU,1722559852
11,talnakh,69.4865,88.3972,292.2,52,86,0.88,RU,1722559874
12,kayangel,8.0823,134.7173,302.01,76,1,6.06,PW,1722559896
13,blackmans bay,-43.0167,147.3167,284.11,74,17,1.34,AU,1722559919
14,pisco,-13.7,-76.2167,289.27,88,75,5.66,PE,1722559941
15,keflavik,64.0049,-22.5624,283.39,81,75,3.6,IS,1722559964
16,redkino,56.6475,36.2967,284.42,99,42,2.49,RU,1722559986
17,ushuaia,-54.8,-68.3,274.96,93,40,1.54,AR,1722560008
18,tot'ma,59.9747,42.7642,287.14,98,100,2.46,RU,1722560031
19,adamstown,-25.066,-130.1015,292.66,88,100,3.51,PN,1722560053
20,grytviken,-54.2811,-36.5092,270.22,84,100,5.14,GS,1722560076
21,prince rupert,54.3161,-130.3201,291.2,66,0,5.14,CA,1722559960
22,smithers,54.7804,-127.1743,295.33,37,20,4.12,CA,1722560120
23,fort bragg,35.139,-79.006,305.47,78,38,2.4,US,1722560143
24,stanley,54.868,-1.6985,286.76,97,20,0.51,GB,1722560165
25,badger,64.8,-147.5333,287.1,78,100,3.6,US,1722560187
26,santana,-0.0583,-51.1817,301.25,78,40,5.14,BR,1722560210
27,olonkinbyen,70.9221,-8.7187,278.31,95,100,8.62,SJ,1722560232
28,puerto baquerizo moreno,-0.9,-89.6,292.74,88,62,3.74,EC,1722560255
29,albany,42.6001,-73.9662,299.09,62,0,2.56,US,1722560277
30,qaqortoq,60.7167,-46.0333,278.73,86,19,2.02,GL,1722560299
31,bethel,41.3712,-73.414,300.61,81,22,0.45,US,1722560082
32,isafjordur,66.0755,-23.124,278.59,96,100,5.54,IS,1722560344
33,hermanus,-34.4187,19.2345,281.93,83,83,2.28,ZA,1722560366
34,laguna,38.421,-121.4238,312.67,19,0,4.63,US,1722560142
35,la passe,45.5549,-0.8967,292.28,84,1,3.83,FR,1722560411
36,mount isa,-20.7333,139.5,296.02,40,0,4.12,AU,1722560434
37,whitstable,51.3607,1.0257,291.55,89,50,1.3,GB,1722560456
38,yakeshi,49.2833,120.7333,291.69,43,100,4.22,CN,1722560478
39,leninskoye,41.7589,69.3864,300.76,25,54,1.72,KZ,1722560501
40,aasiaat,68.7098,-52.8699,274.29,90,76,1.35,GL,1722560523
41,boende,-0.2167,20.8667,296.76,78,8,1.13,CD,1722560545
42,punta arenas,-53.15,-70.9167,278.21,93,100,3.6,CL,1722560568
43,turbat,26.0023,63.044,301.31,80,100,3.23,PK,1722560590
44,invercargill,-46.4,168.35,279.27,92,26,0.45,NZ,1722560613
45,tual,-5.6667,132.75,298.34,87,13,9.26,ID,1722560635
46,kyenjojo,0.6328,30.6214,289.61,92,100,0.42,UG,1722560657
47,weatherford,32.7593,-97.7972,307.64,41,100,2.24,US,1722560702
48,kaiapoi,-43.3783,172.6401,284.57,68,100,3.6,NZ,1722560725
49,carutapera,-1.195,-46.02,298.02,85,14,2.19,BR,1722560747
50,przasnysz,53.0191,20.8803,287.25,93,48,2.91,PL,1722560769
51,whitehorse,60.7161,-135.0538,290.94,56,82,4.92,CA,1722560814
52,zhangye,38.9342,100.4517,293.9,57,99,0.94,CN,1722560836
53,papatowai,-46.5619,169.4708,281.47,64,100,1.43,NZ,1722560859
54,hawaiian paradise park,19.5933,-154.9731,301.89,70,0,4.63,US,1722560881
55,tazacorte,28.629,-17.9293,295.69,84,100,7.2,ES,1722560903
56,priargunsk,50.3691,119.1012,292.29,44,100,2.6,RU,1722560926
57,atafu village,-8.5421,-172.5159,301.08,72,94,8.1,TK,1722560948
58,guarapari,-20.6667,-40.4975,294.2,72,0,0.89,BR,1722560971
59,hsinchu,24.8036,120.9686,305.31,65,8,1.34,TW,1722560993
60,margaret river,-33.95,115.0667,284.77,61,99,1.01,AU,1722561015
61,thompson,55.7435,-97.8558,295.38,46,56,6.69,CA,1722561038
62,yellowknife,62.456,-114.3525,287.27,67,27,3.13,CA,1722561060
63,anadyr,64.75,177.4833,281.43,81,75,6.0,RU,1722561083
64,banda aceh,5.5577,95.3222,301.04,74,100,1.44,ID,1722561127
65,niamey,13.5137,2.1098,301.32,68,100,3.29,NE,1722561150
66,georgetown,5.4112,100.3354,302.11,70,20,1.54,MY,1722561172
67,jamestown,42.097,-79.2353,297.95,88,0,2.06,US,1722561194
68,tiksi,71.6872,128.8694,278.93,58,52,1.93,RU,1722561217
69,bilibino,68.0546,166.4372,282.94,43,8,4.01,RU,1722561239
70,lerwick,60.1545,-1.1494,287.15,91,100,3.14,GB,1722561262
71,mikun',62.3547,50.0771,286.28,97,100,2.02,RU,1722561284
72,la'ie,21.6477,-157.9253,304.13,68,35,2.68,US,1722561306
73,port lincoln,-34.7333,135.8667,285.14,56,99,7.86,AU,1722561329
74,puerto san jose,13.9256,-90.8244,300.86,77,100,1.82,GT,1722561351
75,pagar alam,-4.0167,103.2667,297.42,73,100,0.6,ID,1722561373
76,kamaishi,39.2667,141.8833,299.59,76,38,3.01,JP,1722561396
77,puerto ayora,-0.7393,-90.3518,293.52,84,24,2.97,EC,1722561418
78,puerto natales,-51.7236,-72.4875,275.3,97,100,1.28,CL,1722561441
79,namibe,-15.1961,12.1522,289.5,91,4,2.17,AO,1722561463
80,daru,-9.0763,143.2092,298.41,89,94,8.7,PG,1722561485
81,san francisco,37.7749,-122.4194,300.23,72,40,7.72,US,1722561508
82,hassi messaoud,31.6804,6.0729,305.07,20,0,1.54,DZ,1722561530
83,batouri,4.4333,14.3667,292.49,94,6,1.51,CM,1722561553
84,kidal,18.4411,1.4078,305.47,41,45,3.22,ML,1722561575
85,kalmunai,7.4167,81.8167,300.21,73,100,1.84,LK,1722561597
86,wailua homesteads,22.0669,-159.378,301.0,66,0,5.14,US,1722561620
87,iasi,47.1667,27.6,295.75,64,75,2.68,RO,1722561642
88,al qusayr,34.5091,36.5798,298.0,39,0,2.85,SY,1722561664
89,laojunmiao,39.8333,97.7333,291.94,52,0,2.93,CN,1722561687
90,katsuren-haebaru,26.3369,127.8719,305.36,76,40,4.12,JP,1722561731
91,geraldton,-28.7667,114.6,285.38,82,8,6.17,AU,1722561754
92,port elizabeth,-33.918,25.5701,285.55,88,0,5.66,ZA,1722561776
93,tura,25.5198,90.2201,296.74,98,100,2.19,IN,1722561799
94,morant bay,17.8815,-76.4093,299.94,84,68,0.43,JM,1722561821
95,cidreira,-30.1811,-50.2056,289.41,91,2,8.47,BR,1722561844
96,kayes,14.0,-11.0,299.39,78,100,2.82,ML,1722561866
97,arteche,12.2645,125.4048,302.95,67,40,1.48,PH,1722561888
98,bredasdorp,-34.5322,20.0403,281.06,90,94,2.47,ZA,1722561911
99,mashhad,36.297,59.6062,297.23,50,0,2.06,IR,1722561933
100,mabaruma,8.2,-59.7833,297.05,91,58,0.84,GY,1722561955
101,college,64.8569,-147.8028,286.18,80,100,4.63,US,1722561978
102,bubaque,11.2833,-15.8333,299.8,86,100,6.71,GW,1722562000
103,longyearbyen,78.2186,15.6401,284.06,87,0,1.03,SJ,1722562023
104,nyurba,63.2842,118.3319,289.48,45,0,1.7,RU,1722562045
105,iqaluit,63.7506,-68.5145,278.0,75,75,3.6,CA,1722562067
106,ust-nera,64.5667,143.2,279.43,88,100,3.07,RU,1722562090
107,santander,43.4647,-3.8044,293.41,86,75,2.06,ES,1722562112
108,hirara,24.8,125.2833,304.3,84,40,3.6,JP,1722562134
109,lebu,-37.6167,-73.65,283.57,96,100,5.22,CL,1722562157
110,saipan,15.1355,145.701,302.54,89,40,4.63,MP,1722562202
111,khandyga,62.6667,135.6,286.18,58,54,3.12,RU,1722562224
112,ulladulla,-35.35,150.4667,288.02,55,31,2.48,AU,1722562247
113,waitangi,-43.9535,-176.5597,281.94,79,85,2.68,NZ,1722562269
114,korla,41.7597,86.1469,302.17,35,0,0.9,CN,1722562292
115,susuman,62.7833,148.1667,278.43,69,100,3.8,RU,1722562314
116,cadale,2.7603,46.3222,297.47,84,52,8.1,SO,1722562336
117,ilulissat,69.2167,-51.1,277.16,93,20,0.0,GL,1722562359
118,horta,38.5333,-28.6333,294.83,91,16,0.89,PT,1722562381
119,carnarvon,-24.8667,113.6333,290.8,53,75,7.89,AU,1722562403
120,turpan,42.9333,89.1667,309.34,15,0,2.17,CN,1722562426
121,yuzhno-kurilsk,44.0306,145.8556,291.76,86,100,4.44,RU,1722562448
122,bure,10.7,37.0667,286.64,99,100,0.59,ET,1722562471
123,palu,-0.8917,119.8707,304.97,61,64,1.17,ID,1722562493
124,arraial do cabo,-22.9661,-42.0278,294.94,73,0,7.73,BR,1722562515
125,edinburgh of the seven seas,-37.0676,-12.3116,284.44,64,100,15.11,SH,1722562538
126,heihe,50.2441,127.4902,293.47,47,10,5.71,CN,1722562560
127,castro,-24.7911,-50.0119,286.18,91,0,2.25,BR,1722562582
128,atasu,48.6814,71.6433,301.44,28,53,7.69,KZ,1722562605
129,las vegas,36.175,-115.1372,314.53,19,0,4.63,US,1722562202
130,port saint john's,-31.6229,29.5448,289.94,63,99,1.25,ZA,1722562649
131,tofol,5.3248,163.0078,304.03,74,75,2.57,FM,1722562672
132,talcahuano,-36.7167,-73.1167,284.97,94,100,3.6,CL,1722562694
133,gargalianoi,37.0667,21.6333,298.35,73,0,3.0,GR,1722562717
134,maintirano,-18.0667,44.0167,293.15,82,80,2.57,MG,1722562739
135,zaysan,47.4667,84.8667,299.98,30,0,0.95,KZ,1722562761
136,markovo,57.3206,107.0881,289.57,83,100,0.98,RU,1722562784
137,benguela,-12.5763,13.4055,292.18,87,21,2.46,AO,1722562806
138,marquelia,16.5833,-98.8167,300.87,82,99,0.93,MX,1722562828
139,mata-utu,-13.2816,-176.1745,299.97,71,98,6.17,WF,1722562851
140,chulakkurgan,43.765,69.1814,304.75,11,0,3.72,KZ,1722562873
141,fale old settlement,-9.3852,-171.2468,300.74,68,0,7.23,TK,1722562896
142,yangambi,0.8102,24.4336,295.59,87,100,1.62,CD,1722562918
143,revda,56.801,59.9303,286.87,96,100,1.52,RU,1722562940
144,xifeng,42.7372,124.7222,299.41,86,78,2.48,CN,1722562963
145,vilhena,-12.7406,-60.1458,295.51,40,1,1.4,BR,1722562985
146,lompoc,34.6391,-120.4579,293.62,79,0,6.69,US,1722562922
147,guerrero negro,27.9769,-114.0611,295.35,74,0,5.9,MX,1722563030
148,jiwani,25.05,61.7417,300.89,86,80,4.05,PK,1722563052
149,sao sepe,-30.1606,-53.5653,290.09,97,15,2.43,BR,1722563074
150,srikakulam,18.3,83.9,300.87,76,100,2.46,IN,1722563097
151,sola,-13.8833,167.55,299.29,79,35,7.99,VU,1722563119
152,east london,-33.0153,27.9116,288.63,62,100,3.83,ZA,1722563142
153,palikir - national government center,6.9248,158.1611,304.56,66,40,2.57,FM,1722563164
154,weno,7.4515,151.8468,303.12,79,100,4.12,FM,1722563186
155,vorgashor,67.5833,63.95,290.33,81,86,4.1,RU,1722563231
156,parksville,49.3163,-124.3195,304.11,48,82,1.79,CA,1722563253
157,mil'kovo,55.6078,37.7956,287.94,75,98,3.54,RU,1722563276
158,nova vicosa,-17.8919,-39.3719,296.2,78,53,6.89,BR,1722563343
159,hagere selam,6.4833,38.5167,282.4,97,100,0.37,ET,1722563365
160,flying fish cove,-10.4217,105.6791,298.97,78,20,5.14,CX,1722563388
161,nemuro,43.3236,145.575,290.6,88,100,5.92,JP,1722563410
162,udachny,66.4167,112.4,288.6,42,6,3.28,RU,1722563432
163,tanout,14.9709,8.8879,298.49,75,100,5.22,NE,1722563455
164,floro,61.5996,5.0328,285.13,87,55,2.57,NO,1722563477
165,qala i naw,34.9874,63.1289,298.28,17,0,1.92,AF,1722563499
166,guadalupe,25.6833,-100.25,303.27,47,99,2.24,MX,1722563403
167,briancon,44.9,6.65,288.9,87,0,1.99,FR,1722563544
168,fernie,49.5,-115.0687,306.53,29,0,3.88,CA,1722563566
169,hargeysa,9.56,44.065,294.52,61,95,11.36,SO,1722563589
170,sanctuary point,-35.1114,150.629,289.81,60,42,2.64,AU,1722563611
171,vilyuchinsk,52.9306,158.4028,297.3,76,100,2.75,RU,1722563634
172,aral,40.5156,81.2636,304.42,28,99,6.67,CN,1722563656
173,klyuchi,52.2667,79.1667,299.27,46,0,3.03,RU,1722563678
174,bardai,11.65,7.2333,294.79,93,98,3.32,NG,1722563702
175,sao gabriel da cachoeira,-0.1303,-67.0892,296.47,89,83,0.43,BR,1722563724
176,avarua,-21.2078,-159.775,297.18,53,75,3.6,CK,1722563747
177,ust-tsilma,65.441,52.1498,289.26,81,0,1.85,RU,1722563769
178,"laikit, laikit ii (dimembe)",1.4792,124.9735,302.62,58,20,4.63,ID,1722563791
179,caleta de carquin,-11.0925,-77.6267,290.86,84,7,3.32,PE,1722563814
180,imaricho-ko,33.2667,129.8833,307.02,65,73,3.16,JP,1722563836
181,tchintabaraden,15.8969,5.7985,301.35,61,100,5.9,NE,1722563858
182,vada,51.97,5.6667,289.85,91,26,2.26,NL,1722563881
183,trest,49.2909,15.4821,292.58,98,100,1.29,CZ,1722563903
184,broken hill,-31.95,141.4333,288.53,34,100,6.82,AU,1722563926
185,shimanovsk,52.0,127.7,296.09,45,37,3.45,RU,1722563948
186,kiuruvesi,63.65,26.6167,285.64,97,63,1.47,FI,1722563970
187,mulanje,-16.0316,35.5,286.91,92,4,1.66,MW,1722563993
188,ribeira grande,38.5167,-28.7,296.26,77,18,2.7,PT,1722564015
189,east gwillimbury,44.1334,-79.4163,298.31,68,100,1.39,CA,1722564038
190,todabhim,26.9167,76.8167,299.78,85,100,3.7,IN,1722564060
191,makoua,0.0069,15.6333,298.78,54,81,1.99,CG,1722564082
192,robertsport,6.7533,-11.3686,298.32,86,100,6.76,LR,1722564105
193,walvis bay,-22.9575,14.5053,283.86,85,0,3.92,NA,1722564127
194,dudinka,69.4058,86.1778,290.7,58,79,1.4,RU,1722564149
195,kushima,31.4583,131.2333,306.36,58,53,2.53,JP,1722564172
196,alacranes,22.7675,-81.5675,300.42,85,5,4.09,CU,1722564194
197,sao joao da barra,-21.6403,-41.0511,294.55,64,2,3.72,BR,1722564217
198,fortuna,40.5982,-124.1573,290.66,88,0,6.17,US,1722564239
199,khovd,48.0056,91.6419,294.4,35,46,0.74,MN,1722564261
200,severo-yeniseyskiy,60.3725,93.0408,287.26,93,99,1.21,RU,1722564284
201,arauquita,7.0292,-71.4281,295.27,97,100,0.54,CO,1722564306
202,west island,-12.1568,96.8225,300.14,74,75,4.63,CC,1722564329
203,berezovyy,51.6667,135.7,294.72,47,27,3.15,RU,1722564351
204,qui nhon,13.7667,109.2333,305.0,57,97,1.85,VN,1722564374
205,hithadhoo,-0.6,73.0833,301.45,76,100,4.67,MV,1722564396
206,ceeldheer,3.8488,47.1806,296.72,85,42,8.0,SO,1722564418
207,dickinson,29.4608,-95.0513,303.78,83,20,4.12,US,1722564441
208,zhezqazghan,47.7833,67.7667,298.47,31,0,2.0,KZ,1722564463
209,ancud,-41.8697,-73.8203,282.48,92,100,7.03,CL,1722564485
210,kampung sungai ara,5.327,100.2735,304.1,66,20,2.57,MY,1722564508
211,visakhapatnam,17.69,83.2093,299.09,100,75,2.57,IN,1722564530
212,hilo,19.7297,-155.09,301.0,76,40,4.63,US,1722564553
213,happy valley-goose bay,53.3168,-60.3315,285.25,80,94,2.49,CA,1722564575
214,mossel bay,-34.1831,22.146,283.69,81,35,3.05,ZA,1722564597
215,bogale,16.2833,95.4,301.87,75,97,3.62,MM,1722564620
216,lihue,21.9789,-159.3672,300.92,67,0,4.63,US,1722564642
217,tabou,4.423,-7.3528,296.99,87,100,4.82,CI,1722564665
218,santa elena de uairen,4.6167,-61.1333,293.48,85,98,0.71,VE,1722564687
219,monrovia,6.3005,-10.7969,297.02,87,99,6.14,LR,1722564709
220,beichengqu,40.4394,113.1536,300.86,47,99,3.46,CN,1722564732
221,tateyama,34.9833,139.8667,304.11,78,26,1.52,JP,1722564754
222,taunggyi,20.7833,97.0333,292.29,97,100,1.5,MM,1722564776
223,shingu,33.7333,135.9833,303.56,60,7,2.55,JP,1722564799
224,zhanaozen,43.3,52.8,296.33,40,0,2.96,KZ,1722564821
225,serafimovskiy,54.4241,53.7964,287.17,93,75,3.06,RU,1722564844
226,haiku-pauwela,20.9219,-156.3051,300.47,67,40,8.75,US,1722564866
227,kitimat,54.0524,-128.6534,297.36,54,58,1.79,CA,1722564888
228,nagqu,31.5,92.0,281.98,67,99,3.0,CN,1722564911
229,alderetes,-26.8167,-65.1333,291.98,55,86,1.44,AR,1722564933
230,newman,37.3138,-121.0208,310.28,13,32,3.78,US,1722564956
231,iskateley,67.6803,53.1512,288.45,87,29,5.25,RU,1722565000
232,meadow lake,34.8014,-106.5436,300.96,25,100,4.12,US,1722565023
233,lubango,-14.9172,13.4925,287.84,57,0,0.19,AO,1722565045
234,allouez,44.4775,-88.0162,295.4,94,100,4.63,US,1722565067
235,whangarei,-35.7317,174.3239,284.46,95,100,4.65,NZ,1722565090
236,halapitan,7.9175,125.33,300.51,69,100,1.4,PH,1722565112
237,kapuskasing,49.4169,-82.4331,294.2,88,100,2.57,CA,1722565135
238,tarawa,1.419,172.984,305.2,66,20,2.57,KI,1722565157
239,uturoa,-16.7333,-151.4333,296.95,64,91,6.32,PF,1722565179
240,cape coast,5.1053,-1.2466,296.51,92,85,3.85,GH,1722565202
241,southern pines,35.174,-79.3923,302.62,73,0,0.0,US,1722565247
242,hasaki,35.7333,140.8333,304.42,78,19,4.11,JP,1722565269
243,mahibadhoo,3.7833,72.9667,301.48,72,100,3.38,MV,1722565291
244,crane,31.3974,-102.3501,306.27,28,0,8.86,US,1722565314
245,margate,51.3813,1.3862,289.99,90,28,1.87,GB,1722565336
246,antsiranana,-12.2787,49.2917,294.46,68,2,6.45,MG,1722565358
247,aykhal,66.0,111.5,288.34,43,60,3.35,RU,1722565381
248,purificacion,3.8587,-74.9313,299.53,49,65,2.17,CO,1722565403
249,rokupr,8.6717,-12.395,295.72,99,100,1.35,SL,1722565426
250,whakatane,-37.9585,176.9854,288.43,67,52,1.79,NZ,1722565448
251,madang,-5.2246,145.7966,302.92,68,85,3.35,PG,1722565470
252,emerald,-23.5333,148.1667,293.9,29,0,2.23,AU,1722565493
253,saint-pierre,-21.3393,55.4781,292.97,60,75,2.06,RE,1722565515
254,new norfolk,-42.7826,147.0587,284.87,56,12,1.48,AU,1722565538
255,utrik,11.2278,169.8474,301.49,76,26,2.95,MH,1722565560
256,pionerskiy,54.9508,20.2275,285.06,69,22,3.47,RU,1722565582
257,bikenibeu village,1.3673,173.1241,305.13,66,20,2.57,KI,1722565605
258,afaahiti,-17.75,-149.2833,298.08,65,11,6.15,PF,1722565627
259,egilsstadir,65.2653,-14.3948,281.1,93,75,1.03,IS,1722565649
260,mhamid,29.82,-5.72,305.14,13,1,2.74,MA,1722565672
261,clodomira,-27.5744,-64.1311,296.14,48,80,3.7,AR,1722565694
262,togur,58.3631,82.8265,293.47,81,91,1.78,RU,1722565717
263,khanty-mansiysk,61.0042,69.0019,291.21,100,40,1.0,RU,1722565739
264,bulgan,48.8125,103.5347,286.16,96,100,3.81,MN,1722565761
265,hammerfest,70.6634,23.6821,286.4,94,48,1.54,NO,1722565784
266,hamilton,39.1834,-84.5333,296.45,93,100,5.14,US,1722565806
267,san patricio,28.017,-97.5169,303.09,76,19,4.25,US,1722565851
268,ulan bator,47.9077,106.8832,290.22,82,75,0.0,MN,1722565896
269,bowen,-20.0167,148.2333,294.74,50,0,7.57,AU,1722565918
270,remire-montjoly,4.9167,-52.2667,298.17,94,0,1.54,GF,1722565941
271,thinadhoo,0.5333,72.9333,301.6,76,73,3.69,MV,1722565963
272,starke,29.9441,-82.1098,301.19,100,100,2.06,US,1722565985
273,morteros,-30.7116,-61.9986,298.72,32,100,10.99,AR,1722566008
274,cabo san lucas,22.8909,-109.9124,304.05,70,20,3.6,MX,1722565868
275,ilomantsi,62.6716,30.9328,285.46,96,37,2.15,FI,1722566052
276,leava,-14.3,-178.1667,299.82,74,47,7.14,WF,1722566075
277,nar'yan-mar,67.6713,53.087,289.72,82,51,6.04,RU,1722566097
278,ponta delgada,37.7333,-25.6667,294.55,83,20,0.0,PT,1722566120
279,enewetak,11.3474,162.3373,301.97,75,98,4.57,MH,1722566142
280,kill devil hills,36.0307,-75.676,302.03,87,0,4.12,US,1722566164
281,cururupu,-1.8283,-44.8683,295.29,97,71,0.73,BR,1722566187
